doi,vol-no,numberOrnot,type,pnp,abstract
10.1257/aer.p20151025,105-05,0,empirical,1,"In an ongoing evaluation of post-secondary financial aid, we use random assignment to assess the causal effects of large privately-funded aid awards. Here, we compare the unbiased causal effect estimates from our RCT with two types of non-experimental econometric estimates. The first applies a selection-on-observables assumption in data from an earlier, nonrandomized cohort; the second uses a regression discontinuity design. Selection-on-observables methods generate estimates well below the experimental benchmark. Regression discontinuity estimates are similar to experimental estimates for students near the cutoff, but sensitive to controlling for the running variable, which is unusually coarse."
10.1257/aer.p20151026,105-05,0,theory,1,"Rising student loan default rates and protests over debt suggest that many students make college enrollment and financing choices they regret. Policymakers have considered tying the availability of federally subsidized loans at degree programs to financial outcomes for past students. This paper considers the implementation of such a policy in Chile. We describe how loan repayment varied by degree type at baseline, the design of the loan reform, and how earnings-based loan caps change availability of loans and incentives for students and higher education institutions. We discuss the challenges facing policymakers seeking to link loan availability to earnings outcomes."
10.1257/aer.p20151027,105-05,0,empirical,1,"Previous work demonstrates that low-income higher achievers fail to apply to selective colleges despite their being admitted at high rates and receiving financial aid so generous that they pay less than at non-selective schools. The Expanding College Opportunities project, a randomized controlled trial, provides individualized information about colleges' net prices, resources, curricula, students, and outcomes.  Our prior study shows that the intervention raises students' applications to, admissions at, enrollment, and progress at selective colleges. Here we use survey data to show that it actually changes students' knowledge and decision-making. We highlight topics on which they are misinformed."
10.1257/aer.p20151044,105-05,0,empirical,1,"This paper documents the existence and characteristics of US firms that do not manufacture themselves, but nonetheless are heavily involved in the production of goods. These factoryless goods producing firms (FGPFs) are formally in the wholesale sector but, unlike traditional wholesale firms, FGPFs design the goods they sell and coordinate production activities. FGPFs in the wholesale sector are larger and younger, pay higher wages, span more sectors and had more manufacturing employment in previous years compared to traditional wholesalers. FGPFs are more likely to import than typical wholesalers, though their imports constitute a smaller share of their total domestic activity."
10.1257/aer.p20151045,105-05,0,empirical,1,"Using two independent data sources&mdash;the intrafirm trade data from the US Bureau of Economic Analysis and the related party trade data from the US Census Bureau&mdash;I construct and compare measures of US intrafirm exports and imports. I find that, in general, the two datasets provide similar measures of US intrafirm trade, particularly for exports. Understanding the differences that do exist in measurement will likely require study of the confidential micro data at both the Bureau of Economic Analysis and the Census Bureau."
10.1257/aer.p20151046,105-05,0,theory,1,"We present a comprehensive data set on the bilateral activity of multinational firms, with focus on two variables: affiliate revenues and the number of affiliates across country pairs. Our basic data are from UNCTAD and include 59 countries, an average over 1996-2001. We implement an extrapolation procedure that fills in missing values using, alternately, FDI stocks and the bilateral number of M&A transactions. Our dataset allows for the analysis of new patterns of multinational production activities across countries, by taking into account firm rather than balance of payment variables, and both the intensive and extensive margins of multinational activities."
10.1257/aer.p20151050,105-05,0,empirical,1,"Researchers typically invoke theoretical assumptions to estimate mark-ups. Instead, we directly obtain mark-ups by surveying Pakistani soccer-ball producers. We document six facts: (i) Mark-ups are more dispersed than costs; (ii) Mark-ups and costs increase with firm size; (iii) The mark-up elasticity with respect to size exceeds the cost elasticity; (iv) Costs increase with size because larger firms use higher-quality inputs; (v) Larger firms charge higher mark-ups because they have higher production shares of high-quality balls that carry higher mark-ups, and because they charge higher mark-ups conditional on ball type; (vi) Correlations suggest marketing efforts are important for generating higher mark-ups."
10.1257/aer.p20151051,105-05,0,empirical,1,"We document several facts about workforce transitions from the informal to the formal sector in Vietnam, a fast growing, industrializing, and low-income country. First, younger workers, particularly migrants, are more likely to work in the formal sector and stay there permanently. Second, the decline in the aggregate share of informal employment occurs through changes between and within birth cohorts. Third, younger, educated, male, and urban workers are more likely to switch to the formal sector than other workers initially in the informal sector. Poorly educated, older, female, rural workers face little prospect of formalization. Fourth, formalization coincides with occupational upgrading."
10.1257/aer.p20151052,105-05,0,empirical,1,"We develop a specific-factors model of regional economies that includes two types of workers, skilled and unskilled. The model delivers a simple equation relating trade-induced local shocks to changes in local skill premia. We apply the methodology to Brazil's early 1990s trade liberalization and find statistically significant but modest effects of liberalization on the evolution of the skill premium between 1991 and 2010. The methodology uses widely available household survey data and can easily be applied to other countries and liberalization episodes."
10.1257/aer.p20151069,105-05,0,theory,1,"We contrast evidence of urban path dependence with efforts to analyze calibrated models of city sizes. Recent evidence of persistent city sizes following the obsolescence of historical advantages suggests that path dependence cannot be understood as the medium-run effect of legacy capital but instead as the long-run effect of equilibrium selection. In contrast, a different, recent literature uses stylized models in which fundamentals uniquely determine city size. We show that a commonly used model is inconsistent with evidence of long run persistence in city sizes and propose several modifications that might allow for multiplicity and thus historical path dependence."
10.1257/aer.p20151070,105-05,0,empirical,1,"In the United States in the late 19th and early 20th century, large cities had extremely high death rates from infectious disease. Within major cities such as New York City and Philadelphia, there was significant variation at any point in time in the mortality rate across neighborhoods. Between 1900 and 1930 neighborhood mortality convergence took place in New York City and Philadelphia. We document these trends and discuss their consequences for neighborhood quality of life dynamics and the economic incidence of who gains from effective public health interventions."
10.1257/aer.p20151071,105-05,0,empirical,1,"The industrial cities of the 19th century were incredibly unhealthy places to live. How much progress has been made in reducing these negative health effects over the past 150 years? To help answer this question, we compare mortality patterns in 19th century England to those in Chinese urban areas in 2000. We document that substantial improvements have been made in improving health in cities over this period. Unlike historical English cities, large cities in China have lower mortality than less populated areas. However, we also provide evidence that in China a substantial relationship between industrial pollution and mortality remains."
10.1257/aer.p20151109,105-05,0,empirical,1,"The United States currently provides Temporary Protected Status (TPS) to more than 300,000 immigrants. TPS is typically granted if dangerous conditions prevail in migrants' home countries. Individuals with TPS are allowed to stay and work in the United States temporarily. Little is known about how TPS affects beneficiaries, most of whom are unauthorized prior to receiving TPS. Our results suggest that TPS eligibility leads to higher employment rates among women and higher earnings among men. The results have implications for recent programs that allow millions of unauthorized immigrants to receive temporary permission to remain and work in the United States."
10.1257/aer.p20151110,105-05,0,empirical,1,"During the 1990s the Kagera region of Tanzania experienced a forced migration shock. A series of geographical barriers led to a higher concentration of forced migrants in some parts of the region relative to others, resulting in a natural experiment. Using panel data (pre and post forced migration shock), we find that greater exposure to the refugee shock resulted in Tanzanians having a lower likelihood of working outside the household as employees. However, employees more affected by the shock had a higher probability of being in professional occupations and being part of a pensions program."
10.1257/aer.p20151111,105-05,0,empirical,1,"Using state-level data from 1980-2010 we examine whether economic freedom, as measured by the Economic Freedom of North America Index, has had any impact in increasing or decreasing the ratio of median income for black households to the median income of white households. To our knowledge, there has been no research on racial income disparities and the role that economic freedom might have in alleviating or exacerbating the problem. We find evidence that economic freedom is associated with an increase in the racial income gap."
10.1257/aer.p20151112,105-05,0,empirical,1,"We examine the relationship between capitalism and income inequality for a large sample of countries using an adjusted economic freedom index as proxy for capitalism. Our results suggest that there is no robust relationship between economic freedom and Gini coefficients based on gross income. Subsequently, we analyze the relationship between income redistribution and ethno-linguistic fractionalization. We find that the impact of ethno-linguistic fractionalization on income redistribution is conditional on the level of economic freedom: countries that have a high degree of fractionalization redistribute income less, while capitalist countries that have a low degree of fractionalization redistribute income more."
10.1257/aer.p20151113,105-05,1,empirical,1,"We evaluate how intensified interior immigration enforcement impacts the likelihood that children of unauthorized immigrants will repeat a grade or drop out of school. Using a weighted index of the intensity of interior immigration enforcement at the MSA level, we find that increased enforcement has the largest impact on younger children ages 6 to 13. The estimates, which account for the non-random residential location of children and their families, reveal that increased enforcement raises young children's probability of repeating a grade by 6 percent and their likelihood of dropping out of school by 25.2 percent."
10.1257/aer.p20151114,105-05,0,empirical,1,"College is a pathway to social mobility in the United States. Yet too often high-achieving students from low-income and minorities families fail to apply to selective postsecondary institutions. Our study examines the extent to which academic undermatching occurs among high-achieving minority students by analyzing the application choices of students who undergo two distinct admissions policies. We find that minority students eligible for automatic admissions and those who undergo holistic admissions are both less likely to apply to elite flagship universities than white students, despite being equally qualified based on high school performance. Instead, minorities often opt for lower tier universities."
10.1257/aer.p20151115,105-05,0,empirical,1,"This paper finds households with children and elderly dependents, the ""Sandwich Generation,"" significantly reduce both college savings and stockholding. Having any elderly dependents decreases the probability of both stockholding and college savings by twice as much as poor personal health. Hence, these results have critical implications as they demonstrate the importance and magnitude of links between the pension system, college financial aid, and wealth accumulation. Elderly dependents limiting parental funds for offspring education can decrease offspring long-term earnings potential via decreased human capital accumulation. Furthermore, decreased stock holdings can decrease long-term wealth accumulation and thus intergenerational wealth transfers."
10.1257/aer.p20151116,105-05,0,empirical,1,"This paper uses a unique and rich administrative data set to analyze the impact of the introduction of a new grading policy on graduations rates at Benedict College, a Historically Black College in Columbia, South Carolina. According to the new grading policy, grades for underclassmen are determined in part by performance on tests and in part by measures of ""effort"" such as attendance and class participation. This paper finds that while graduates graduate at a faster rate under the policy, there is no significant difference between graduation rates before and after the policy was implemented."
10.1257/aer.p20151117,105-05,1,empirical,1,"I present results from the first trust game conducted among married couples. The experiment consisted of a one-shot trust game where spouses were taken into separate rooms, not allowed to communicate, given a significant endowment, and both strategies and payoffs were common knowledge. Results indicate that only 3 percent of spouses in the sender role transfer the entire amount; the average proportion sent is 57 percent of the endowment. The limited sending is costly because the household on average is walking away with half of the potential earnings. The results provide further evidence of the lack of Pareto Efficiency within the household."
10.1257/aer.p20151120,105-05,0,empirical,1,"Violence against women is a critical problem across the world. In this paper, we exploit state and temporal variation in alcohol control in India to examine the impact of prohibition on alcohol consumption and violent crimes against women. We first use detailed household survey data to show that prohibition policies are associated with substantially lower rates of drinking among men and domestic violence. Next, we provide evidence that alcohol prohibition reduces aggregate violence against women in officially reported crime data. The results suggest that policies that restrict access to alcohol may help reduce gender violence."
10.1257/aer.p20151119,105-05,0,empirical,1,"In this paper I compare the relationship between first-birth timing and post-birth labor supply for high school and college graduate mothers. Given that pre-birth wages are increasing in fertility delay, the rising opportunity cost of time would suggest that among both groups, later mothers work more. Yet I only find this pattern for high school graduates. For college graduates, I instead find that there is a strong U-shaped pattern between hours worked within motherhood, and the career timing of first birth."
10.1257/aer.p20151118,105-05,1,empirical,1,"Sex ratio at birth remains highly skewed in Asian countries due to son preference. In South Korea, however, it has declined to the natural ratio. In this paper, we investigate whether son preference has disappeared in Korea by analyzing parents' time and monetary inputs by the sex of their child. We exploit randomness of the first child's sex to overcome potential bias from endogenous fertility decisions. Our findings show that mothers are more likely to work after having a girl, girls spend twice as much time as boys in housework activities, and parents spend more on private education for boys."
10.1257/aer.p20151121,105-05,0,theory,1,"We pose good markets frictions on top of an otherwise standard two-country international real business cycle (IRBC) model. Shopping for goods takes effort, which prevents perfect matching between customers and producers. An increase in search effort implies increased measured productivity. Demand shocks increase expenditures and search effort simultaneously increasing output, consumption, productivity, and the trade deficit and appreciating the real exchange rate. Thus we solve the Backus-Smith puzzle and we show that the cross country correlation of consumption is higher than that of output.  Standard IRBC models cannot account for these puzzles along with movements in TFP."
10.1257/aer.p20151124,105-05,0,theory,1,We propose new indices to measure macroeconomic uncertainty. The indices measure how unexpected a realization of a representative macroeconomic variable is relative to the unconditional forecast error distribution. We use forecast error distributions based on the nowcasts and forecasts of the Survey of Professional Forecasters. We further compare the new indices with those proposed in the literature and assess their macroeconomic impact.
10.1257/aer.p20151123,105-05,0,empirical,1,"This paper considers the effect of different dimensions of the FOMC's forward guidance on ex ante investor expectations about future changes in US Treasury yields. Options and Futures data for 2- and 10-year Treasuries is used to extract State-Price Densities of investor beliefs, and the corresponding standard deviation, skewness, and excess kurtosis of these densities are computed. Announcements about extension of the zero-lower bound in 2012-13 are found to reduce the expectations about crash risk, but increase the uncertainty about future yields for the 10-year. Policies about long-security purchases lead investors to place greater weight on no change in future yields."
10.1257/aer.p20151122,105-05,0,empirical,1,"Relative to backward firms, technologically-advanced firms source inputs from other advanced firms. These sourcing patterns lead to a magnification effect of technology adoption. A firm that adopts higher-technology increases the relative supply and demand for higher-technology inputs. As a result, it positively influences the technology of other firms in its production chain. Using data from a Colombian manufacturing survey, we provide evidence that advanced firms disproportionately value advanced inputs.  More novel, we provide suggestive evidence that technological advancements in some firms increase the technology of other firms indirectly linked to them through a common input market."
10.1257/aer.104.6.1777,104-06,0,empirical,0,"Causal estimates of the benefits of increased schooling using U.S. state schooling laws as instruments typically rely on specifications which assume common trends across states in the factors affecting different birth cohorts. Differential changes across states during this period, such as relative school quality improvements, suggest that this assumption may fail to hold. Across a number of outcomes including wages, unemployment, and divorce, we find that statistically significant causal estimates become insignificant and, in many instances, wrong-signed when allowing year of birth effects to vary across regions."
10.1257/aer.104.6.1793,104-06,0,empirical,0,"The endowment effect, the tendency to value possessions more than non-possessions, is a well known departure from rational choice and has been replicated in numerous settings. We investigate the universality of the endowment effect, its evolutionary significance, and its dependence on environmental factors. We experimentally test for the endowment effect in an isolated and evolutionarily relevant population of hunter-gatherers, the Hadza Bushmen of Northern Tanzania. We find that Hadza living in isolated regions do not display the endowment effect, while Hadza living in a geographic region with increased exposure to modern society and markets do display the endowment effect."
10.1257/aer.104.6.1806,104-06,0,empirical,0,"This paper investigates the effect of early exposure to neighborhood crime on subsequent criminal behavior of youth exploiting a unique natural experiment between 1986 and 1998 when refugee immigrants to Denmark were assigned to neighborhoods quasi-randomly. We find strong evidence that the share of young people convicted for crimes, in particular violent crimes, in the neighborhood increases convictions of male assignees later in life. No such effects are found for other measures of neighborhood crime including the rate of committed crimes. Our findings suggest social interaction as a key channel through which neighborhood crime is linked to individual criminal behavior."
10.1257/aer.104.6.1833,104-06,0,empirical,0,We estimate the causal effect of a large development program on conflict in the Philippines through a regression discontinuity design that exploits an arbitrary poverty threshold used to assign eligibility for the program. We find that barely eligible municipalities experienced a large increase in conflict casualties compared to barely ineligible ones. This increase is mostly due to insurgent-initiated incidents in the early stages of program preparation. Our results are consistent with the hypothesis that insurgents try to sabotage the program because its success would weaken their support in the population.
10.1257/aer.104.6.1857,104-06,0,theory,0,"Demichelis & Weibull (AER 2008) show that adding lexicographic lying costs to coordination games with cheap talk yields a sharp prediction: only the efficient outcome is evolutionarily stable. I show that this result is caused by the discontinuity of preferences rather than by small lying costs per se. Finally, I discuss why discontinuity may not be an appealing assumption in evolutionary models."
10.1257/aer.104.7.1875,104-07,0,theory,0,"We develop a dynamic equilibrium model of asset markets with adverse selection. There exists a unique equilibrium in which better quality assets trade at higher prices but with a lower price-dividend ratio in less liquid markets. Sellers of high-quality assets signal quality by accepting a lower trading probability. We show how the distribution of sellers' private information affects an asset's price and liquidity, how a change in that distribution can cause a fire sale and a flight to quality, and how asset purchase and subsidy programs may raise prices and liquidity and reverse the flight to quality."
10.1257/aer.104.7.1909,104-07,1,empirical,0,"We describe findings from the first large-scale cluster randomized controlled trial in a developing country that evaluates the uptake of a health-protecting technology, insecticide-treated bednets (ITNs), through micro-consumer loans, as compared to free distribution and control conditions. Despite a relatively high price, 52 percent of sample households purchased ITNs, highlighting the role of liquidity constraints in explaining earlier low adoption rates. We find mixed evidence of improvements in malaria indices. We interpret the results and their implications within the debate about cost sharing, sustainability and liquidity constraints in public health initiatives in developing countries."
10.1257/aer.104.7.1942,104-07,1,empirical,0,"Large exporters are simultaneously large importers. We show that this pattern is key to understanding low aggregate exchange rate pass-through as well as the variation in pass-through across exporters. We develop a theoretical framework with variable markups and imported inputs, which predicts that firms with high import shares and high market shares have low exchange rate pass-through. We test and quantify the theoretical mechanism using Belgian firm-product-level data on imports and exports. Small nonimporting firms have nearly complete pass-through, while large import-intensive exporters have pass-through around 50 percent, with the marginal cost and markup channels contributing roughly equally."
10.1257/aer.104.7.1979,104-07,0,theory,0,"Do intellectual property rights influence multinationals' manufacturing location decisions? My theoretical model indicates that countries with strong patent laws attract multinational activity, but only in sectors with relatively long product life cycles. By contrast, firms with short life-cycle technologies are insensitive, because offshore imitation is less likely to succeed before obsolescence. I document strong empirical regularities consistent with the model using a panel dataset on the global operations of US-based multinational firms and a new measure of product obsolescence. Moreover, my identification strategy allows me to isolate the causal effect of patent laws on multinational activity."
10.1257/aer.104.7.2014,104-07,0,theory,0,"We study a uniform-price auction where k identical common-value objects are allocated amongst z > k bidders who have imperfect signals about the state of the world. The common valuation is determined jointly by the state and an action that is chosen after winning an object. In large auctions, there are symmetric equilibria where the auction price aggregates no information. Moreover, market statistics other than price (e.g., the amount of rationing or the bid distribution) contain extra information about the state. In contrast, in standard large auctions without actions, the price aggregates all relevant information."
10.1257/aer.104.7.2049,104-07,1,empirical,0,"We estimate peer effects in paid paternity leave in Norway using a regression discontinuity design. Coworkers and brothers are 11 and 15 percentage points, respectively, more likely to take paternity leave if their peer was exogenously induced to take up leave. The most likely mechanism is information transmission, including increased knowledge of how an employer will react. The estimated peer effect snowballs over time, as the first peer interacts with a second peer, the second peer with a third, and so on. This leads to long-run participation rates which are substantially higher than would otherwise be expected."
10.1257/aer.104.7.2075,104-07,1,theory,0,"We develop a model with partial insurance against idiosyncratic wage shocks to quantify risk sharing. Closed-form solutions are obtained for equilibrium allocations and for moments of the joint distribution of consumption, hours, and wages. We prove identification and demonstrate how labor supply data are informative about risk sharing. The model, estimated with US data over the period 1967&ndash;2006, implies that (i) 39 percent of permanent wage shocks pass through to consumption; (ii) the share of wage risk insured increased until the early 1980s; and (iii) preference heterogeneity is important in accounting for observed dispersion in consumption and hours."
10.1257/aer.104.7.2127,104-07,0,empirical,0,"Many of the facts about the extensive margin of trade&mdash;which firms export, and how many products are sent to how many destinations&mdash;are consistent with a surprisingly large class of trade models because of the sparse nature of trade data. We propose a statistical model to account for sparsity, formalizing the assignment of trade shipments to country, product, and firm categories as balls falling into bins. The balls-and-bins model quantitatively reproduces the pattern of zero product- and firm-level trade flows across export destinations, and the frequency of multiproduct, multidestination exporters. In contrast, balls-and-bins overpredicts the fraction of exporting firms."
10.1257/aer.104.7.2152,104-07,1,empirical,0,"This paper exploits a sharp reduction in patient cost sharing at age 70 in Japan, using a regression discontinuity design to examine its effect on utilization, health, and financial risk arising from out-of-pocket expenditures. Due to the national policy, cost sharing is 60&ndash;80 percent lower at age 70 than at age 69. I find that both outpatient and inpatient care are price sensitive among the elderly. While I find little impact on mortality and other health outcomes, the results show that reduced cost sharing is associated with lower out-of-pocket expenditures, especially at the right tail of the distribution."
10.1257/aer.104.7.2185,104-07,1,empirical,0,"A law issued to combat political corruption and Mafia infiltration of city councils in Italy has resulted in episodes of large, unanticipated, temporary contractions in local public spending. Using these episodes as instruments, we estimate the output multiplier of spending cuts at provincial level&mdash;controlling for national monetary and fiscal policy, and holding the tax burden of local residents constant&mdash;to be 1.5. Assuming that lagged spending is exogenous to current output brings the estimate of the overall multiplier up to 1.9. These results suggest that local spending adjustment may be quite consequential for local activity."
10.1257/aer.104.7.2210,104-07,1,empirical,0,"We posit that household decision-making over fertility is characterized by moral hazard since most contraception can only be perfectly observed by the woman. Using an experiment in Zambia that varied whether women were given access to contraceptives alone or with their husbands, we find that women given access with their husbands were 19 percent less likely to seek family planning services, 25 percent less likely to use concealable contraception, and 27 percent more likely to give birth. However, women given access to contraception alone report a lower subjective well-being, suggesting a psycho-social cost of making contraceptives more concealable."
10.1257/aer.104.7.2238,104-07,0,empirical,0,"This paper analyzes the effects on voting behavior of information disseminated over the Internet. We address endogeneity in Internet availability by exploiting regional and technological peculiarities of the preexisting voice telephony network that hindered the roll-out of fixed-line infrastructure for high-speed Internet. We find negative effects of Internet availability on voter turnout, which we relate to a crowding-out of TV consumption and increased entertainment consumption. We find no evidence that the Internet systematically benefits specific parties, suggesting ideological self-segregation in online information consumption. Robustness tests, including placebo estimations from the pre-Internet period, support a causal interpretation of our results."
10.1257/aer.104.8.2267,104-08,0,empirical,0,"During the last three decades government debt has increased in most developed countries. During the same period we have also observed a significant liberalization of international financial markets. We propose a multi-country model with incomplete markets and show that governments may choose higher levels of debt when financial markets become internationally integrated. We also show that public debt increases with the volatility of uninsurable income (idiosyncratic risk). To the extent that the increase in income inequality observed in some industrialized countries has been associated with higher idiosyncratic risk, the paper suggests another potential mechanism for the rise in public debt."
10.1257/aer.104.8.2303,104-08,0,empirical,0,"We define the empirical content of an economic theory as the least restrictive observationally equivalent theory. We show that the empirical content of a theory is captured by a certain kind of axiomatization, with axioms that are universal negations of conjunctions of atomic formulae."
10.1257/aer.104.8.2320,104-08,0,theory,0,"The newsworthiness of an event is partly determined by how unusual it is and this paper investigates the business cycle implications of this fact. Signals that are more likely to be observed after unusual events may increase both uncertainty and disagreement among agents. In a simple business cycle model, such signals can explain why we observe (i) occasional large changes in macro economic aggregate variables without a correspondingly large change in underlying fundamentals (ii) persistent periods of high macroeconomic volatility and (iii) a positive correlation between absolute changes in macro variables and the cross-sectional dispersion of survey expectations."
10.1257/aer.104.8.2368,104-08,1,empirical,0,"This paper studies a New Keynesian business cycle model with agents who are averse to ambiguity (Knightian uncertainty). Shocks to confidence about future TFP are modeled as changes in ambiguity. To assess the size of those shocks, our estimation uses not only data on standard macro variables, but also incorporates the dispersion of survey forecasts about growth as a measure of confidence. Our main result is that TFP and confidence shocks together can explain roughly two thirds of business cycle frequency movements in the major macro aggregates. Confidence shocks account for about 70% of this variation."
10.1257/aer.104.8.2400,104-08,0,theory,0,"We examine a dynamic model of voluntary disclosure of multiple pieces of private information. In our model, a manager of a firm who may learn multiple signals over time interacts with a competitive capital market and maximizes payoffs that increase in both period prices. We show (perhaps surprisingly) that in equilibrium later disclosures are interpreted more favorably even though the time the manager obtains the signals is independent of the value of the firm. We also provide sufficient conditions for the equilibrium to be in threshold strategies."
10.1257/aer.104.8.2421,104-08,0,empirical,0,Firms' incentives to manufacture biased user reviews impede review usefulness. We examine the differences in reviews for a given hotel between two sites: Expedia.com (only a customer can post a review) and TripAdvisor.com (anyone can post). We argue that the net gains from promotional reviewing are highest for independent hotels with single-unit owners and lowest for branded chain hotels with multi-unit owners. We demonstrate that the hotel neighbors of hotels with a high incentive to fake have more negative reviews on TripAdvisor relative to Expedia; hotels with a high incentive to fake have more positive reviews on TripAdvisor relative to Expedia.
10.1257/aer.104.8.2456,104-08,0,empirical,0,"We show that isolated capital cities are robustly associated with greater levels of corruption across US states, in line with the view that this isolation reduces accountability. We then provide direct evidence that the spatial distribution of population relative to the capital affects different accountability mechanisms: newspapers cover state politics more when readers are closer to the capital, voters who live far from the capital are less knowledgeable and interested in state politics, and they turn out less in state elections. We also find that isolated capitals are associated with more money in state-level campaigns, and worse public good provision."
10.1257/aer.104.8.2482,104-08,0,empirical,0,"When regulated firms are offered compensation to prevent them from relocating, efficiency requires that payments be distributed across firms so as to equalize marginal relocation probabilities, weighted by the damage caused by relocation. We formalize this fundamental economic logic and apply it to analyzing compensation rules proposed under the EU Emissions Trading Scheme, where emission permits are allocated free of charge to carbon intensive and trade exposed industries. We show that this practice results in substantial overcompensation for given carbon leakage risk. Efficient permit allocation reduces the aggregate risk of job loss by more than half without increasing aggregate compensation."
10.1257/aer.104.8.2509,104-08,0,empirical,0,This paper documents the pervasiveness of job polarization in 16 Western European countries over the period 1993-2010. It then develops and estimates a framework to explain job polarization using routine-biased technological change and offshoring. This model can explain much of both total job polarization and the split into within-industry and between-industry components.
10.1257/aer.104.8.2527,104-08,0,empirical,0,"Using new data on real estate listings, we provide new evidence that foreclosures have a causal effect on nearby house prices and disentangle the effect into two sources: competition and disamenities. We identify the causal effect by showing that sellers respond to new REO listings in the exact week of listing, not a week before and not a week after. We disentangle competition and disamenity effects by examining the spillover effect across various stages of the foreclosure process. We find that competition effects are important in all areas, but only find evidence for disamenity effects in high density, low price neighborhoods."
10.1257/aer.104.8.2552,104-08,0,theory,0,"A significant policy concern about the emerging plaintiff legal funding industry is that loans will undermine settlement. When the plaintiff has private information about damages, we find that the optimal (plaintiff-funder) loan induces all plaintiff types to make the same demand, resulting in full settlement; implementation may entail a very high repayment amount. Plaintiffs' attorneys with contingent-fee compensation benefit from such financing, as it eliminates trial costs. When the defendant has private information about his likelihood of being found liable, we find that the likelihood of settlement is unaffected. In both settings the defendant's incentive for care-taking is unaffected."
10.1257/aer.104.8.2567,104-08,1,empirical,0,"Administrative data from a large and diverse community college are used to examine if underrepresented minority students benefit from taking courses with underrepresented minority instructors. To identify racial interactions we estimate models that include both student and classroom fixed effects and focus on students with limited choice in courses. We find that the performance gap in terms of class dropout rates and grade performance between white and underrepresented minority students falls by 20 to 50 percent when taught by an underrepresented minority instructor. We also find these interactions affect longer term outcomes such as subsequent course selection, retention, and degree completion."
10.1257/aer.104.9.2593,104-09,0,empirical,0,"Are teachers' impacts on students' test scores (""value-added"") a good measure of their quality? One reason this question has sparked debate is disagreement about whether value-added (VA) measures provide unbiased estimates of teachers' causal impacts on student achievement. We test for bias in VA using previously unobserved parent characteristics and a quasi-experimental design based on changes in teaching staff. Using school district and tax records for more than one million children, we find that VA models which control for a student's prior test scores exhibit little bias in forecasting teachers' impacts on student achievement."
10.1257/aer.104.9.2633,104-09,1,empirical,0,"Are teachers' impacts on students' test scores (""value-added"") a good measure of their quality? This question has sparked debate partly because of a lack of evidence on whether high value-added (VA) teachers improve students' long-term outcomes. Using school district and tax records for more than one million children, we find that students assigned to high-VA teachers are more likely to attend college, earn higher salaries, and are less likely to have children as teenagers. Replacing a teacher whose VA is in the bottom 5% with an average teacher would increase the present value of students' lifetime income by approximately $250,000 per classroom."
10.1257/aer.104.9.2680,104-09,0,theory,0,"Though risk aversion and the elasticity of intertemporal substitution have been the subjects of careful scrutiny, the long-run risks literature as well as the broader literature using recursive utility to address asset pricing puzzles have ignored the full implications of their parameter specifications. Recursive utility implies that the temporal resolution of risk matters and a quantitative assessment thereof should be part of the calibration process. This paper gives a sense of the magnitudes of implied timing premia. Its objective is to inject temporal resolution of risk into the discussion of the quantitative properties of long-run risks and related models."
10.1257/aer.104.9.2698,104-09,0,empirical,0,"This paper proposes foundations and a methodology for survey-based tracking of well-being. First, we develop a theory in which utility depends on ""fundamental aspects"" of well-being, measurable with surveys. Second, drawing from psychologists, philosophers, and economists, we compile a comprehensive list of such aspects. Third, we demonstrate our proposed method for estimating the aspects' relative marginal utilities&mdash;a necessary input for constructing an individual-level well-being index&mdash;by asking ~4,600 U.S. survey respondents to state their preference between pairs of aspect bundles. We estimate high relative marginal utilities for aspects related to family, health, security, values, freedom, happiness, and life satisfaction."
10.1257/aer.104.9.2736,104-09,0,empirical,0,We reevaluate the role of human capital in determining the wealth of nations. We use standard human capital theory to estimate stocks of human capital and allow the quality of human capital to vary across countries. Our model can explain differences in schooling and earnings profiles and consequently estimates of Mincerian rates of return across countries. We find that effective human capital per worker varies substantially across countries. Cross-country differences in Total Factor Productivity (TFP) are significantly smaller than found in previous studies. Our model implies that output per worker is highly responsive to changes in TFP and demographic variables.
10.1257/aer.104.9.2763,104-09,1,empirical,0,"Public transit accounts for 1 percent of U.S. passenger miles traveled but attracts strong public support. Using a simple choice model, we predict that transit riders are likely to be individuals who commute along routes with severe roadway delays. These individuals' choices thus have high marginal impacts on congestion. We test this prediction with data from a strike in 2003 by Los Angeles transit workers. Estimating a regression discontinuity design, we find that average highway delay increases 47 percent when transit service ceases. We find that the net benefits of transit systems appear to be much larger than previously believed."
10.1257/aer.104.9.2797,104-09,0,empirical,0,"We analyze whether mid-level managers in securitized finance were aware of a large-scale housing bubble and a looming crisis in 2004-2006 using their personal home transaction data. We find that the average person in our sample neither timed the market nor were cautious in their home transactions, and did not exhibit awareness of problems in overall housing markets. Certain groups of securitization agents were particularly aggressive in increasing their exposure to housing during this period, suggesting the need to expand the incentives-based view of the crisis to incorporate a role for beliefs."
